company_name,year_founded,industries,cb_hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,ipo_status,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors,operating_status_binary,num_employees_cat,clean_name,city,state,country,match_company,match_score
BlueHalo,2020,"Intelligent Systems, Military, Satellite Communication","Arlington, Virginia, United States",22201,BlueHalo is the transformation of modern warfare in defense and space.,Active,6935,Private Equity,2024-03-18,Private Equity,Private,$1B to $10B,1001-5000,1,723160139,0,0,1,1001-5000,BLUEHALO,Arlington,Virginia,United States,BLUEHALO LABS,90.0
Magma Space,2020,Aerospace,"Washington, District of Columbia, United States",20001,Magma Space is developing cutting-edge control systems to achieve unmatched aiming accuracy.,Active,171814,Seed,2023-09-11,Pre-Seed,Private,0,1-10,1,20000,Techstars,1,1,1-10,MAGMA SPACE,Washington,District of Columbia,United States,MAGMA SPACE,100.0
Martian Sky Industries,2020,"Aerospace, Government, Robotics","Cleveland, Ohio, United States",90001,Martian Sky Industries is a space robotics company working directly with the government and industry partners.,Active,1070057,0,0,0,Private,0,1-10,0,0,0,0,1,1-10,MARTIAN SKY INDUSTRIES,Cleveland,Ohio,United States,MARTIAN SKY INDUSTRIES,100.0
Quantum Space,2021,Aerospace,"Rockville, Maryland, United States",95054,"Quantum Space provides data buy services, deploys spacecraft, and performs space logistics for partners.",Active,30591,Early Stage Venture,2024-06-25,Grant,Private,0,11-50,2,16000000,"Maryland Department of Commerce, Prime Movers Lab",2,1,11-50,QUANTUM SPACE,Rockville,Maryland,United States,QUANTUM SPACE,100.0
Outpost,2021,"Aerospace, Information Technology, Space Travel","Los Angeles, California, United States",90001,Outpost is a space company that provides earth return satellites and orbital payload missions.,Active,60029,Seed,2022-08-30,Seed,Private,$1M to $10M,11-50,2,7100000,"FJ Labs, Draper Associates, Moonshots Capital, AIR Capital, KittyHawk",8,1,11-50,OUTPOST,Los Angeles,California,United States,OUTPOST TECHNOLOGIES,90.0
Nabla Zero Labs,2016,Aerospace,"Pasadena, California, United States",10001,Nabla Zero Labs is a Defense & Space company located in Pasadena.,Active,2331370,0,0,0,Private,0,1-10,0,0,0,0,1,1-10,NABLA ZERO LABS,Pasadena,California,United States,NABLA ZERO LABS,100.0
Stratos Perception,2017,"Aerospace, Artificial Intelligence (AI), Service Industry","Houston, Texas, United States",20002,Stratos Perception provides elegant artificial intelligence solutions that enhance human productivity in space.,Active,3112931,0,0,0,Private,0,1-10,0,0,0,0,1,1-10,STRATOS PERCEPTION,Houston,Texas,United States,STRATOS PERCEPTION,100.0
Rebel Space Technologies,2019,"Aerospace, Software","Long Beach, California, United States",90802,"Building autonomous threat recognition, threat response, and cybersecurity software for space systems",Active,1552357,Seed,2022-09-01,Non-equity Assistance,Private,0,1-10,2,0,"Creative Destruction Lab (CDL), Starburst Accelerator",2,1,1-10,REBEL SPACE TECHNOLOGIES,Long Beach,California,United States,REBEL SPACE TECHNOLOGIES,100.0
Specter,2021,"Digital Marketing, Information Technology, InsurTech, Software, Web Development","Auburn, California, United States",95603,"Specter provides IT consulting, software development, and digital marketing services.",Active,1131347,0,0,0,Private,0,1-10,0,0,0,0,1,1-10,SPECTER,Auburn,California,United States,SPECTER AEROSPACE,90.0
Heliospace,2018,"Aerospace, Hardware, Manufacturing, Product Design","Berkeley, California, United States",94710,Heliospace provides systems engineering management for space flight missions.,Active,1414635,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,HELIOSPACE,Berkeley,California,United States,HELIOSPACE,100.0
Aalyria,2021,"Internet, Network Security, Satellite Communication, Telecommunications","Livermore, California, United States",94551,Aalyria is a telecom startup that specializes in data connectivity and reliability through weather and atmospheric conditions.,Active,178158,Early Stage Venture,2022-09-01,Series A,Private,0,11-50,1,0,"Accel, J2 Ventures, Wayne Chang",3,1,11-50,AALYRIA,Livermore,California,United States,AALYRIA TECHNOLOGIES,90.0
Mentium Technologies,2017,"Artificial Intelligence (AI), Semiconductor","Santa Barbara, California, United States",93106,"Mentium develops co-processors for AI at the Edge, specializing in mission-critical applications, both on ground and in Space.",Active,70162,Seed,2023-08-01,Seed,Private,$1M to $10M,1-10,5,7194586,"National Science Foundation, NASA, Unpopular Ventures, Santa Barbara Angel Alliance",4,1,1-10,MENTIUM TECHNOLOGIES,Santa Barbara,California,United States,MENTIUM TECHNOLOGIES,100.0
Global Air Logistics and Training,2015,"Aerospace, Space Travel","Del Mar, California, United States",92014,Global Air Logistics and Training is an innovative airborne systems delivering warfighter focused solutions.,Active,474088,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,GLOBAL AIR LOGISTICS AND TRAINING,Del Mar,California,United States,GLOBAL AIR LOGISTICS AND TRAINING,100.0
Vestigo Aerospace,2019,Satellite Communication,"La Canada Flintridge, California, United States",91011,"Vestigo Aerospace provides deorbit capability for cubeSats, small satellites, and launch vehicle stages.",Active,115735,Seed,2022-08-16,Grant,Private,0,1-10,2,750000,"Manhattan West, Nasa Small Business Innovation Research / Small Business Technology Transfer",2,1,1-10,VESTIGO AEROSPACE,La Canada Flintridge,California,United States,VESTIGO AEROSPACE,100.0
Relativity Space,2015,"3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Long Beach, California, United States",90809,"Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Active,6733,Late Stage Venture,2023-11-15,Series F,Private,$1M to $10M,501-1000,9,1355719978,"General Catalyst, BlackRock, Y Combinator, Fidelity, Tiger Global Management",58,1,501-1000,RELATIVITY SPACE,Long Beach,California,United States,RELATIVITY SPACE,100.0
Emerge,2015,"Consumer Electronics, Manufacturing, Telecommunications","Marina Del Rey, California, United States",90292,"Emerge is a computer and electronic manufacturing company that offers products in the gaming, and space exploration fields.",Active,2699305,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,EMERGE,Marina Del Rey,California,United States,EMERGENT SPACE TECHNOLOGIES,90.0
Vector Launch,2016,"Aerospace, Space Travel","Tucson, Arizona, United States",85719,Vector offers micro satellite launch services.,Active,21045,Early Stage Venture,2018-10-19,Series B,Private,$1M to $10M,51-100,6,97750000,"Sequoia Capital, Alumni Ventures, Lightspeed Venture Partners, DARPA, DNX Ventures",27,1,51-100,VECTOR LAUNCH,Tucson,Arizona,United States,VECTOR LAUNCH,100.0
Cactus Materials,2016,"Manufacturing, Semiconductor, Water","Tempe, Arizona, United States",85284,"Cactus Materials specializes in semiconductor fabrication, space applications, and nano-materials.",Active,54488,0,2024-04-01,Venture - Series Unknown,Private,$1M to $10M,11-50,1,2776250,0,0,1,11-50,CACTUS MATERIALS,Tempe,Arizona,United States,CACTUS MATERIALS,100.0
PickNik Robotics,2015,"Industrial Automation, Robotics, Software, Space Travel","Boulder, Colorado, United States",80302,"Our mission is to help organizations simplify, accelerate, and deliver unstructured robotics solutions.",Active,33883,Seed,2023-10-12,Pre-Seed,Private,$1M to $10M,11-50,11,8439937,"Stellar Ventures, Cypress Growth Capital",2,1,11-50,PICKNIK ROBOTICS,Boulder,Colorado,United States,PICKNIK,90.0
Orbital Micro Systems,2015,"Aerospace, Information Services, Software","Boulder, Colorado, United States",80301,Orbital Micro Systems is an earth observation data company.,Active,154106,Seed,2022-08-16,Debt Financing,Private,Less than $1M,11-50,3,650000,"Leonid Capital Partners, Tremendous View Capital",2,1,11-50,ORBITAL MICRO SYSTEMS,Boulder,Colorado,United States,ORBITAL MICRO SYSTEMS,100.0
Space Lab Technologies,2016,"Aerospace, Life Science","Boulder, Colorado, United States",80301,Space Lab? provides hardware and services for space habitation and space systems.,Active,788126,0,0,0,Private,0,1-10,0,0,0,0,1,1-10,SPACE LAB TECHNOLOGIES,Boulder,Colorado,United States,SPACE LAB TECHNOLOGIES,100.0
Urban Sky,2019,"Aerospace, Geospatial, Mapping Services, Remote Sensing, Smart Cities","Denver, Colorado, United States",80206,Urban Sky offers a revolution in remote sensing through the new stratospheric microballon.,Active,28407,Early Stage Venture,2023-10-16,Series A,Private,$1M to $10M,11-50,8,15963834,"Techstars, National Science Foundation, Lerer Hippeau, TenOneTen Ventures, Lavrock Ventures",13,1,11-50,URBAN SKY,Denver,Colorado,United States,URBAN SKY THEORY,90.0
Xairos,2019,"Aerospace, GPS, Information Technology","Highlands Ranch, Colorado, United States",80124,"Xairos is a space and technology company that revolutionizes position, navigation, and timing.",Active,125184,Seed,2021-11-18,Grant,Private,Less than $1M,1-10,3,870000,"Techstars, Advanced Industries Accelerator (AIA) Program",2,1,1-10,XAIROS,Highlands Ranch,Colorado,United States,XAIROS SYSTEMS,90.0
Tendeg,2016,"Aerospace, Mechanical Design, Mechanical Engineering","Louisville, Colorado, United States",80027,"Tendeg is an aerospace engineering company that specializes in designing, analyzing, prototyping, and building flight units.",Active,456679,0,0,0,Private,$1M to $10M,51-100,0,0,0,0,1,51-100,TENDEG,Louisville,Colorado,United States,TENDEG,100.0
Sierra Space,2021,"Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation","Louisville, Colorado, United States",80027,Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Active,271,Early Stage Venture,2023-09-26,Series B,Private,$100M to $500M,1001-5000,2,1690000000,"Coatue, General Atlantic, AE Industrial Partners, Moore Strategic Ventures, Tokio Marine & Nichido Fire Insurance Dubai Branch",21,1,1001-5000,SIERRA SPACE,Louisville,Colorado,United States,SIERRA SPACE,100.0
Orbit Fab,2018,"Aerospace, Energy, Infrastructure, Manufacturing, Space Travel","Lafayette, Colorado, United States",80026,Orbit Fab is a supplier of tankers and other infrastructure needed for in-space refueling of satellites.,Active,5797,Early Stage Venture,2024-07-22,Grant,Private,$1M to $10M,11-50,11,43847560,"Techstars, National Science Foundation, UK Space Agency, Tribe Capital, Jackson Moses",29,1,11-50,ORBIT FAB,Lafayette,Colorado,United States,ORBIT FAB,100.0
CesiumAstro,2017,"Aerospace, Drones, Satellite Communication, Space Travel","Austin, Texas, United States",78738,"CesiumAstro provides out-of-the-box communication systems for satellites, UAVs, launch vehicles, and other space or airborne platforms.",Active,4135,Early Stage Venture,2024-06-18,Series B,Private,$10M to $50M,101-250,7,185239195,"Kleiner Perkins, Franklin Templeton, Development Bank of Japan, Trousdale Ventures, Matter Venture Partners",17,1,101-250,CESIUMASTRO,Austin,Texas,United States,CESIUMASTRO,100.0
Axiom Space,2016,"Aerospace, Industrial Manufacturing, Space Travel","Houston, Texas, United States",77058,Axiom Space is a commercial space station company that connects to the ISS.,Active,1837,Late Stage Venture,2023-08-21,Series C,Private,$100M to $500M,501-1000,6,500000000,"Alumni Ventures, Washington University in St. Louis, Disruptive Ventures, Jackson Moses, Prosperity7 Ventures",32,1,501-1000,AXIOM SPACE,Houston,Texas,United States,AXIOM SPACE,100.0
Cognitive Space,2018,"Aerospace, Artificial Intelligence (AI), Satellite Communication","Houston, Texas, United States",77002,Cognitive Space develops a generation machine intelligence platform for satellite constellation management.,Active,30920,Seed,2023-12-08,Convertible Note,Private,$1M to $10M,11-50,6,9620000,"Techstars, Creative Destruction Lab (CDL), Dolby Family Ventures, Cultivation Capital, Glasswing Ventures",18,1,11-50,COGNITIVE SPACE,Houston,Texas,United States,COGNITIVE SPACE,100.0
impossible Sensing,2016,"Aerospace, Information Technology, Space Travel","St Louis, Missouri, United States",63118,"At Impossible Sensing, we specialize in science and technology for measuring the scattering and absorption of light.",Active,120501,0,2023-07-11,Grant,Private,0,1-10,2,250000,"Creative Destruction Lab (CDL), Wells Fargo Innovation Incubator",2,1,1-10,IMPOSSIBLE SENSING,St Louis,Missouri,United States,IMPOSSIBLE SENSING,100.0
Orbion Space Technology,2017,"Manufacturing, Satellite Communication, Space Travel","Houghton, Michigan, United States",49931,Orbion Space Technology develops and manufactures plasma propulsion systems for small satellites.,Active,20776,0,2023-05-24,Undisclosed,Private,$1M to $10M,11-50,3,29200000,"Inventus Capital Partners, Invest Detroit, Ann Arbor SPARK, Beringea, Material Impact",10,1,11-50,ORBION SPACE TECHNOLOGY,Houghton,Michigan,United States,ORBION SPACE TECHNOLOGY,100.0
ATLAS Space Operations,2015,"Aerospace, Enterprise Software, Telecommunications","Traverse City, Michigan, United States",49684,"ATLAS Space Operations is the Satellite Communications as a Service Getting Your Data, Faster",Active,1685,0,2024-09-04,Venture - Series Unknown,Private,$1M to $10M,11-50,7,52000000,"Revolutions Rise of the Rest Seed Fund, Mitsui & Co, Beringea, Space Capital, Wakestream Ventures",15,1,11-50,ATLAS SPACE OPERATIONS,Traverse City,Michigan,United States,ATLAS SPACE OPERATIONS,100.0
Engenix,2018,"Artificial Intelligence (AI), Machine Learning, Service Industry, Software, Training, Virtual Reality","Huntsville, Alabama, United States",35805,Engenix provides service for defense and space manufacturing.,Active,2057558,0,2021-09-01,Non-equity Assistance,Private,Less than $1M,1-10,1,0,gbeta,1,1,1-10,ENGENIX,Huntsville,Alabama,United States,ENGENIX,100.0
Eta Space,2019,"Aerospace, Test and Measurement","Rockledge, Florida, United States",32955,Eta Space provides cryogenic solutions for space and earth.,Active,124253,0,2023-05-15,Grant,Private,$1M to $10M,11-50,1,197884,US Department of Energy,1,1,11-50,ETA SPACE,Rockledge,Florida,United States,ETA SPACE,100.0
Modularity Space,2016,"Aerospace, Industrial","Daytona Beach, Florida, United States",32114,Modularity Space is a modular reusable satellite developing company.,Active,681225,0,2022-05-16,Venture - Series Unknown,Private,$1M to $10M,11-50,3,0,"Starburst Accelerator, VU Venture Partners, Nex Cubed",3,1,11-50,MODULARITY SPACE,Daytona Beach,Florida,United States,MODULARITY,90.0
AXE,2020,"Aerospace, Air Transportation, CleanTech, GreenTech, Manufacturing, Transportation","Greensboro, North Carolina, United States",27410,Efficient Mobility Technologies,Active,3062843,0,0,0,Private,0,1-10,0,0,0,0,1,1-10,AXE,Greensboro,North Carolina,United States,MAXENTRIC TECHNOLOGIES,90.0
Raytheon Intelligence & Space,2020,"Cyber Security, Information Technology, IT Management, Sensor, Software","Arlington, Virginia, United States",22209,"Raytheon Intelligence & Space specializes in developing advanced sensors, cyber services and software solutions.",Closed,3519570,0,0,0,Private,0,10001+,0,0,0,0,0,10001+,RAYTHEON INTELLIGENCE & SPACE,Arlington,Virginia,United States,RAYTHEON,90.0
SpaceLink,2020,"Aerospace, Internet, Telecommunications","Mclean, Virginia, United States",22102,"Accelerating a new age of space commerce, security and environmental awareness.",Active,1438197,0,0,0,Private,Less than $1M,11-50,0,0,0,0,1,11-50,SPACELINK,Mclean,Virginia,United States,SPACELINK,100.0
Trusted Space,2019,"Information Technology, Machine Learning, Satellite Communication, Simulation, Software, Space Travel","Leesburg, Virginia, United States",20175,"Trusted Space is a differentiated professional services company focused on providing modeling, simulation & analysis services.",Active,1482909,0,0,0,Private,Less than $1M,11-50,0,0,0,0,1,11-50,TRUSTED SPACE,Leesburg,Virginia,United States,TRUSTED SPACE,100.0
Peraton,2017,"Cyber Security, Information Services, Information Technology","Herndon, Virginia, United States",20170,Fearlessly solving the world's most complex challenges to keep people safe and secure.,Active,3263821,M&A,0,0,Private,$1B to $10B,10001+,0,0,0,0,1,10001+,PERATON,Herndon,Virginia,United States,PERATON,100.0
